id,название,цена,бренд,продаж,рейтинг,в наличии
174960830,Видеокарта GeForce RTX 4060 Ti VENTUS 3X 16GB,55786.0,MSI,15,0,64
91587572,Видеокарта RTX 3060 GAMING X 12 gb,58140.0,MSI,23,5,34
174960786,Видеокарта RTX4090 SUPRIM LIQUID 24G,199065.0,MSI,15,0,151
174960820,Видеокарта RX7900XT GAMING TRIO CLASSIC 20GB,108611.0,MSI,15,0,111
174960802,Видеокарта RTX4070Ti GAMING X TRIO 12GB,91631.0,MSI,15,0,134
175162944,Видеокарта GeForce GTX 1660 SUPER Ventus XS OC 6GB,25138.0,MSI,15,0,48
176307653,GeForce ARMOR GTX 1060 - 3072MB 192 bit,10965.0,MSI,15,0,93
166898483,Видеокарта GeForce RTX 4060 Ti GAMING X 8GB,46979.0,MSI,15,5,141
173461658,Видеокарта GeForce 210 1GB,3167.0,MSI,15,0,125
169873872,Видеокарта RTX 3050 AERO ITX 8G OCV2,31035.0,MSI,15,0,428
140242996,Видеокарта AMD Radeon 4 ГБ. RX 550 AERO ITX OC,7471.0,MSI,40,1,42
140875450,Видеокарта GeForce RTX 3060 Ti Ventus 3X OC,48959.0,MSI,26,0,128
172632594,Видеокарта 24GB RTX4090 SUPRIM LIQUID X,200015.0,MSI,15,0,227
173461713,Видеокарта GeForce RTX4070Ti SUPRIM 12G,102868.0,MSI,15,0,125
172295779,Видеокарта RTX4060Ti GAMING X 16GB,58485.0,MSI,15,0,60
172295781,Видеокарта RTX4060Ti VENTUS 2X BLACK 16GB OC,55004.0,MSI,15,0,39
173461636,Видеокарта Radeon RX6650XT GAMING X 8GB,40922.0,MSI,15,0,125
173461735,Видеокарта Intel Arc A750 ASTRO 2X 8GB,36032.0,MSI,15,0,125
173461655,Видеокарта Radeon RX 6650 XT MECH 2X OC 8GB,28092.0,MSI,15,0,125
173461707,Видеокарта GeForce RTX3050 AERO ITX 8GB OCV2,27418.0,MSI,15,0,125
173461555,Видеокарта Intel Arc A310 LP 2X 4GB OEM,12049.0,MSI,15,0,82
173461668,Видеокарта Radeon RX 550 4GB (RX 550 AERO ITX 4G OC),11922.0,MSI,15,0,125
173461628,Видеокарта GeForce GT1030 AERO ITX 2GD4 OC 2GB,8685.0,MSI,15,0,125
41495786,"Видеокарта RTX 2060 VENTUS GP OC 6ГБ GDDR6, OC",60341.0,MSI,15,0,85
140696590,Видеокарта GeForce GTX 1660 SUPER GAMING X,25963.0,MSI,17,0,85
70010391,"Видеокарта GT 730, N730K-2GD3 LP, 2ГБ, GDDR3",7131.0,MSI,15,5,27
90078023,Видеокарта Geforce RTX 2060 6Gb NVidia,24406.0,MSI,59,5,85
171262559,Видеокарта GeForce RTX 3060 GAMING X 12G RTL,46665.0,MSI,15,0,92
170441533,GeForce RTX 2060 SUPER VENTUS OC 8GB,28041.0,MSI,15,5,57
174440517,Видеокарта GeForce GTX 1660 SUPER VENTUS XS OC,17000.0,MSI,57,5,140
156549910,GeForce GTX 1660 SUPER VENTUS XS OC,20391.0,MSI,15,5,57
95587958,RTX 3060 GAMING X 12Gb,42049.0,MSI,17,5,221
172483190,Видеокарта GeForce GTX 1660 Ti OC 6G (GV-N166TOC-6GD),23689.0,MSI,15,0,71
113476982,Видеокарта GeForce RTX 2060 VENTUS 12G OC 12GB,36541.0,MSI,15,0,95
146802451,Видеокарта GeForce N210 512 Мб DDR3,3400.0,MSI,15,0,50
171262560,Видеокарта GeForce RTX 3050 8Gb Gaming X,36286.0,MSI,15,0,82
140648838,GeForce RTX 3070 Ti GAMING X TRIO 8G,67244.0,MSI,24,0,221
171541070,Видеокарта RTX 3060 TI VENTUS 3X 8G OC LHR,43655.0,MSI,15,0,187
166935297,Игровая видеокарта МSI Radeon RX 580 8 ГБ,14832.0,MSI,17,0,32
149879715,Видеокарта GeForce GTX1650 VENTUS XS 4G OCV1,18946.0,MSI,23,0,315
171262571,Видеокарта GeForce RTX 3060 Ti GAMING X 8G LHR,53116.0,MSI,15,0,89
172481251,"Видеокарта GeForce GTX 1660 SUPER Gaming X 6GB, Retail",27174.0,MSI,15,0,71
168810578,Видеокарта МSI AMD Radeon RX 5700 XT 8 ГБ,37844.0,MSI,17,0,71
39884708,Видеокарта GeForce GTX 1660 Ti 6 Gb,73078.0,MSI,57,0,82
141149524,"Видеокарта GeForce RTX 3060 GAMING, 12G GDDR6",40430.0,MSI,23,0,33
97341319,Видеокарта Radeon RX 6700 XT,93242.0,MSI,17,0,85
169517747,GeForce RTX 4070 GAMING X TRIO,127500.0,MSI,15,0,90
151470723,"Видеокарта GeForce 210, 1GB N210-1GD3 LP",5489.0,MSI,15,0,394
